City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Humidity,Wind Speed
riyadh,0,sa,9,24.63,46.72,98.6,9,4.7
naze,100,jp,97,5.43,7.07,73.51,97,3.58
whitehorse,75,ca,76,60.72,-135.06,57.42,76,1.48
cockburn town,42,bs,80,21.46,-71.14,81.25,80,11.54
nago,0,jp,46,45.88,10.89,84.69,46,2.24
matveyevka,38,ru,73,45.75,33.81,78.37,73,9.66
barsovo,0,ru,62,61.17,73.17,53.6,62,4.47
maun,0,bw,38,-19.99,23.42,59.0,38,3.78
vanimo,6,pg,80,-2.67,141.3,81.61,80,7.45
zhumadian,14,cn,57,33.01,114.02,75.49,57,2.89
omboue,8,ga,76,-1.57,9.26,76.03,76,12.46
dengzhou,0,cn,56,32.69,112.08,74.95,56,3.87
misratah,0,ly,86,32.38,15.09,77.47,86,12.62
lowicz,0,pl,45,52.11,19.95,83.1,45,2.24
poum,40,nc,60,41.28,20.71,73.4,60,12.75
angul,60,in,68,20.84,85.1,85.75,68,4.25
petropavlovsk-kamchatskiy,90,ru,100,53.05,158.65,44.6,100,4.47
bossier city,75,us,83,32.52,-93.73,77.09,83,8.05
shahr-e babak,0,ir,12,30.12,55.12,83.59,12,17.83
hovd,75,mn,82,63.83,10.7,56.37,82,10.29
huangmei,20,cn,95,30.1,115.95,69.37,95,4.56
petrov val,31,ru,70,50.14,45.21,63.97,70,12.1
nuuk,75,gl,100,64.17,-51.74,48.2,100,14.99
bambous virieux,75,mu,78,-20.34,57.76,74.55,78,14.99
sorland,75,no,66,67.67,12.69,50.0,66,9.17
snasa,0,no,59,64.25,12.38,62.6,59,9.17
lumut,17,my,89,-8.46,120.34,65.23,89,5.35
rojhan,29,pk,29,28.69,69.95,96.73,29,2.68
duminichi,75,ru,73,53.93,35.11,61.81,73,3.65
medina,0,us,6,24.47,39.61,105.8,6,8.05
poli,84,cm,90,8.48,13.24,75.13,90,3.71
teahupoo,40,pf,61,-17.83,-149.27,77.0,61,5.82
aleksandrovskiy zavod,65,ru,94,50.92,117.94,55.87,94,6.22
lavrentiya,84,ru,77,65.58,-170.99,39.67,77,7.85
sangar,100,ru,83,63.92,127.47,56.41,83,3.27
bathsheba,40,bb,66,13.22,-59.52,86.0,66,19.46
dali,100,cn,96,25.6,100.24,63.25,96,3.53
alekseyevka,0,ru,48,53.25,50.49,66.2,48,6.71
dudinka,75,ru,86,69.41,86.18,39.2,86,8.95
belmonte,91,br,51,40.36,-7.35,73.0,51,5.66
jining,12,cn,61,35.41,116.58,72.61,61,11.68
alofi,100,nu,94,-19.06,-169.92,71.6,94,8.05
mufumbwe,0,zm,42,-13.68,24.8,62.53,42,5.1
miri,58,my,59,10.31,9.75,82.51,59,6.96
stolin,51,by,77,51.89,26.85,66.85,77,5.86
makarov,99,ru,99,48.62,142.78,51.37,99,2.84
santa cruz,1,cr,60,36.97,-122.03,70.77,60,3.36
malkara,29,tr,58,40.89,26.9,79.09,58,12.44
quepos,0,cr,61,9.43,-84.16,79.07,61,4.7
porbandar,88,in,84,21.64,69.61,82.87,84,6.38
avarua,100,ck,69,-21.21,-159.78,75.2,69,5.82
buraydah,0,sa,16,26.33,43.97,98.6,16,6.93
tuzha,95,ru,92,28.58,109.69,68.83,92,1.52
gawler,0,au,66,-34.6,138.75,50.38,66,9.17
batemans bay,56,au,89,-35.71,150.18,42.21,89,3.0
tabuk,99,sa,97,17.41,121.44,65.23,97,1.28
amga,8,ru,94,60.89,131.98,45.25,94,2.53
gigmoto,81,ph,75,13.78,124.39,84.49,75,9.37
seoul,1,kr,88,37.57,126.98,67.68,88,4.85
vieques,75,us,79,18.43,-65.83,85.57,79,11.41
saint anthony,20,ca,26,43.97,-111.68,70.9,26,4.41
sulangan,97,ph,73,11.14,123.72,83.05,73,5.88
erzin,0,ru,78,36.95,36.2,81.97,78,5.82
altay,97,cn,87,47.83,88.13,40.75,87,3.47
san cristobal,75,ec,38,-0.39,-78.55,68.49,38,4.7
ahlat,0,tr,36,38.75,42.49,65.41,36,3.4
saint-joseph,0,re,48,43.56,6.97,84.6,48,3.36
marondera,75,zw,62,-18.19,31.55,59.0,62,5.82
thinadhoo,48,mv,70,0.53,72.93,84.85,70,6.24
ocos,20,gt,55,14.51,-92.19,89.6,55,4.7
businga,100,cd,97,3.34,20.89,68.83,97,3.0
tobias barreto,85,br,76,-11.19,-38.0,76.75,76,7.96
hambantota,20,lk,100,6.12,81.12,80.6,100,4.7
hirara,84,jp,79,24.8,125.28,81.97,79,6.87
pitsunda,75,ge,78,43.16,40.34,77.72,78,6.71
boguchany,100,ru,49,58.38,97.46,67.57,49,3.74
menongue,0,ao,31,-14.66,17.68,59.83,31,2.17
siddipet,21,in,79,18.1,78.85,79.27,79,10.31
champerico,40,gt,58,16.38,-93.6,86.0,58,3.36
kaeo,52,nz,95,-35.1,173.78,48.99,95,1.99
anuradhapura,99,lk,75,8.34,80.41,82.33,75,11.34
vengerovo,55,ru,94,55.68,76.74,60.19,94,9.35
simao,100,cn,96,22.76,100.79,66.31,96,1.83
qiongshan,0,cn,94,20.01,110.35,80.6,94,2.24
kushiro,0,jp,94,43.11,144.15,52.99,94,2.3
meulaboh,59,id,75,4.14,96.13,82.33,75,7.87
basud,100,ph,90,14.07,122.96,77.47,90,1.32
fort nelson,40,ca,52,58.81,-122.69,69.8,52,5.82
storforshei,20,no,58,66.4,14.52,55.65,58,8.05
